Nombre_de_la_fuente,Tema,Subtema,Subtema_especifico,Tipo_de_fuente,Año_referencia,Tipo,Nivel_de_desagregación,URL,Institucion,Cont_inf_indigena,Notas,categoria
Censos y conteos de Población y Vivienda (CPV),"Educación,Hogares y Vivienda","Características educativas de la poblacion, Hogares,Vivienda",Características de los hogares,Censo,1900,Regular,Nacional > Estatal,https://www.inegi.org.mx/programas/ccpv/1900/#tabulados,INEGI,Idioma nativo o lengua hablada,Idioma nativo o lengua hablada de la población (columna 12 de la cédula). Variable capturada en el instrumento pero sin tabulado publicado disponible en la plataforma digital del INEGI.,Demografía y Sociedad
Censos y conteos de Población y Vivienda (CPV),"Educación,Hogares y Vivienda","Características educativas de la poblacion, Hogares,Vivienda",Características de los hogares,Censo,1910,Regular,Nacional > Estatal,https://www.inegi.org.mx/programas/ccpv/1910/,INEGI,Idioma o lengua hablada de la población,"Idioma o lengua hablada de la población por familia lingüística y lengua específica, desagregado por sexo. Sin cuestionario, metodología, datos abiertos y microdatos disponibles. Tabulado de lengua indígena disponible solo a nivel estatal, aunque el censo general llegó a nivel municipal .",Demografía y Sociedad
Censos y conteos de Población y Vivienda (CPV),"Educación,Hogares y Vivienda","Características educativas de la poblacion, Hogares,Vivienda",Características de los hogares,Censo,1921,Regular,Nacional > Estatal,https://www.inegi.org.mx/programas/ccpv/1921/#tabulados,INEGI,Raza indígena pura/mezclada,"Raza (cols. 7–9): distingue raza indígena pura (col. 7) y raza indígena mezclada con blanca (col. 8), exclusivamente para mexicanos de nacimiento, disponible en el cuestionario: Cédula para habitantes. Dos tabulados disponibles: ""Idioma nativo"" e ""Idioma que sin ser el nativo, habla el empadronado"", desagregados por lengua/dialecto específico y sexo  ",Demografía y Sociedad
Censos y conteos de Población y Vivienda (CPV),"Educación,Hogares y Vivienda","Características educativas de la poblacion, Hogares,Vivienda",Características de los hogares,Censo,1930,Regular,Nacional > Estatal,https://www.inegi.org.mx/programas/ccpv/1930/#tabulados,INEGI,HLI sin español / HLI con español,"Población 5+ que habla exclusivamente dialectos indígenas (excluye bilingües), por lengua específica y sexo. Tabulados en: Lengua indígena > absolutos y relativos por entidad (XLS). Sin microdatos ni datos abiertos disponibles.",Demografía y Sociedad
Censos y conteos de Población y Vivienda (CPV),"Educación,Hogares y Vivienda","Características educativas de la poblacion, Hogares,Vivienda",Características de los hogares,Censo,1940,Regular,Nacional > Estatal,https://www.inegi.org.mx/programas/ccpv/1940/#tabulados,INEGI,HLI sin español / HLI con español,"Población 5+ que habla exclusivamente lenguas indígenas (excluye bilingües), por lengua y sexo. Contenida en tabulado básico ""Características de la República, por Estados"" (XLS), pestañas Primera y Segunda parte. Sin microdatos ni datos abiertos disponibles.",Demografía y Sociedad
Censos y conteos de Población y Vivienda (CPV),"Educación,Hogares y Vivienda","Características educativas de la poblacion, Hogares,Vivienda",Características de los hogares,Censo,1950,Regular,Nacional > Estatal,https://www.inegi.org.mx/programas/ccpv/1950/#tabulados,INEGI,HLI sin español / HLI con español,"HLI (col. 44, cuestionario) para personas 5+; capta español-lengua indígena. Tabulados en: Lengua indígena, alfabetismo (XLSX), 3 cuadros por entidad y sexo (C6, C19, C30). Sin microdatos ni datos abiertos disponibles.",Demografía y Sociedad
Censos y conteos de Población y Vivienda (CPV),"Educación,Hogares y Vivienda","Características educativas de la poblacion, Hogares,Vivienda",Características de los hogares,Censo,1960,Regular,Nacional > Estatal,https://www.inegi.org.mx/programas/ccpv/1960/#tabulados,INEGI,HLI sin español / HLI con español,"HLI (col. 17, cuestionario) para personas 5+; capta español-lengua indígena. Tabulados en: Lengua indígena (XLSX), 3 cuadros por entidad y sexo (C14, C38, C39). Sin microdatos ni datos abiertos disponibles.",Demografía y Sociedad
Censos y conteos de Población y Vivienda (CPV),"Educación,Hogares y Vivienda","Características educativas de la poblacion, Hogares,Vivienda",Características de los hogares,Censo,1970,Regular,Nacional > Estatal,https://www.inegi.org.mx/programas/ccpv/1970/#tabulados,INEGI,HLI sin español / HLI con español,"HLI (preg. 7, cuestionario por vivienda) para personas 5+; distingue hablantes con y sin español. Un tabulado en: Lengua indígena > CGP70_Nal_LI1 por entidad, lengua y sexo (C17). Sin microdatos ni datos abiertos disponibles.",Demografía y Sociedad
Censos y conteos de Población y Vivienda (CPV),"Educación,Hogares y Vivienda","Características educativas de la poblacion, Hogares,Vivienda",Características de los hogares,Censo,1980,Regular,Nacional > Estatal,https://www.inegi.org.mx/programas/ccpv/1980/#tabulados,INEGI,HLI (con y sin español),"HLI (preg. 6, cuestionario) para todas las edades; tabulados solo para 5+; distingue HLI con y sin español. Dos tabulados en: Lengua indígena (XLSX) — LI1 por entidad y grupos quinquenales de edad (C52), LI2 por entidad, lengua y sexo (C53). Sin microdatos ni datos abiertos disponibles.",Demografía y Sociedad
Censos y conteos de Población y Vivienda (CPV),"Educación,Hogares y Vivienda","Características educativas de la poblacion, Hogares,Vivienda",Características de los hogares,Censo,1990,Regular,Nacional > Estatal,https://www.inegi.org.mx/programas/ccpv/1990/#microdatos,INEGI,HLI (con y sin español),"HLI (HAB_IND, CVE_LENG, HAB_ESP) en cuestionario; 4 tabulados en pestaña Tabulados > Lengua indígena (XLSX) — LI1-LI3 por entidad/lengua/edad/sexo, LI4 para población 0-4 en hogares con jefe HLI. Microdatos disponibles: muestra censal 10% por estado (DBF) y ITER por localidad (DBF/TXT/XLS).",Demografía y Sociedad
